description,message_id
"Internal ErrorRecommended Action: Contact your support provider",303005
"No description available.",303008
"No description available.",303009
"Internal ErrorRecommended Action: Contact your support provider",303020
"No Reboot flag is set in CPBOOT. Recommended Action: Contact your support provider",303021
"This should not happenRecommended Action: Contact you support provider.",303023
"This should not happenRecommended Action: Contact your support provider.",303024
"Compressing Core file.Recommended Action: Contact your support provider.",303025
"Internal System error while compressing core file Recommended Action: Contact your support provider.",303026
"Unable to save core fileRecommended Action: Remove unused files from flash",303027
"Process went down but no core file has been generated Recommended Action: If this is seen consistently",303028
"Successfully generated Core fileRecommended Action: Contact your support provider",303029
"Transferring core file to serverRecommended Action: Contact your support provider",303030
"Removing old crash dumpsRecommended Action: Just an informational message; no action required",303041
"Information mesageRecommended Action: Just an informational message; no action required",303042
"Information mesageRecommended Action: Just an informational message; no action required",303043
"System is trying to generate more free space. Cleaning more core files Recommended Action: Just an informational message; no action required",303044
"Just an information message. No action requiredø€œAfter cleaning cores files",303045
"Removing all crash data from flashRecommended Action: Just an informational message; no action required",303046
"Information mesageRecommended Action: Just an informational message; no action required",303047
"We are running low on memory. We will be removing old crash files to generate more free spaceRecommended Action: Just an informational message; no action required",303050
"Information mesageRecommended Action: Just an informational message; no action required",303051
"This message indicates system is running out of memory. System will reboot if the condition persistsRecommended Action: Run show processes and show memory command to monitor usage",303061
"We are running very low on memory",303063
"Critical process has gone doneRecommended Action: Contact your support provider",303070
"Critical process has died. Rebooting system Recommended Action: Contact your support provider",303071
"Process has been restartedRecommended Action: Informational message; no action required",303072
"Process died because of signal mentioned above Recommended Action: Congtact your support provider",303073
"No description available.",303074
"No description available.",303075
"One Time Process has terminatedRecommended Action: Informational message; no action required",303076
"Restartable processes has been respawned Recommended Action: Informational message; no action required",303079
"No description available.",303080
"This message defines action to be taken once crash file has been generatedRecommended Action: Follow the instructions in the message and contact your support provider with the tar file",303081
"No description available.",303082
"Process has been restarted with in defined limits. No more restarts for this processRecommended Action: Contact your support provider",303083
"Internal system error",303084
"Nanny recieved SIGTERM",303085
"Nanny recieved SIGTERM",303086
"No description available.",303093
"No description available.",303094
"Unexpected condition occurred in the station manager (stm) Recommended Action: Contact your support provider",304000
"Unexpected condition occurred in the station manager (stm) Recommended Action: Contact your support provider",304001
"Inter-process communication message failed to reach the target.",304035
"VPOOL: Maximum capcity ([count:%d]) reached for Vlan Pool hash table Recommended Action: Contact your support provider",304039
"VPOOL: Vlan Pool hash table ([vap:%s]) collision at [entry:%d]. Not handled! Recommended Action: Contact your support provider",304040
"VPOOL: Error allocating VLAN from Virtual AP pool [name:%s] Recommended Action: Contact your support provider",304041
"The application was not able to connect to the user database.",304045
"The application was not able to create the Client Blacklist tables in the user database.",304046
"This log indicates that an SQL command failed when it was executed on the user database.",304047
"This log indicates that an update to the client blacklist database table failed.",304049
"This log indicates that the client blacklist table is full and an entry that would have been added could not be added",304054
"Unexpected condition occurred in the station manager (stm)",304055
"Aruba inter-process communication message failed to reach datapath.",304058
"Datapath reply to PAPI message sent is truncated.",304060
"Aruba inter-process communication message failed to reach auth manager.",304062
"Aruba inter-process communication message failed to reach air monitor.",304063
"Aruba inter-process communication message failed to reach destination.",304064
"Aruba inter-process communication message failed to reach destination.",304065
"Inter-process communication message failed to reach the target.",304067
"The system tried to assign the specified profile to the specified AP",305004
"The APø€™s configuration must contain at least one valid instance of the given profile type",305027
"No description available.",305044
"No description available.",305045
"No description available.",305052
"No description available.",305102
"Application failed to get license informationArubaOS 6",306400
"KE Daemon encounted an internal error during startup",306402
"KE Daemon received information it can not process Recommended Action: This message can be ignored",306403
"IKE Daemon received internal message from unknown service Recommended Action: This message can be ignored",306406
"Sysctl call failed",306407
"Ike Daemon could not initialize configuration data",306410
"VPN module requesting for switch IP failed.",306413
"PubSub module encountered an internal error while sending a message to the specified module. The message will be resent",306514
"Failed to send pubsub publisher message to pubsub module. The message will be resent",306515
"Failed to send pubsub subscriber message to pubsub module. The message will be resent",306516
"This is an internal system error Recommended Action: Contact your support provider",306600
"Controller encountered error sending data over TCP socket between master-local",307021
"Controller has encountered error receiving data over TCP socket between master-local",307024
"Master received communication from local from which it never heard (exchanged heart-beat).",307059
"Configuration manager is unable to push config snapshot to Application due to failure of inter-process messagingRecommended Action: Contact your support provider36 | System Messages ArubaOS 6",307069
"Master failed to send configuration to Local over TCP connection Recommended Action: Contact your support provider",307070
"Configuration manager is unable to send switch ip request message to L2/L3 moduleRecommended Action: Contact your support provider",307139
"Error sending request to L2/L3 module for VRRP Role InformationCause: Configuration manager is unable to send VRRP role information message to L2/ L3 moduleRecommended Action: Contact your support provider",307141
"Configuration manager is unable to allocate buffer",307164
"Configuration manager is unable to allocate buffer",307165
"Bind socket system call failed. It will retriedRecommended Action: If the problem persists",307180
"Configuration manager is unable to read configuration file Recommended Action: Contact your support provider",307199
"Error opening the Master Config Socket. Configuration distribution to the locals will not work properly",307222
"There was an error in making the Config server socket NON BLOCKING",307225
"Error Accepting a connection to the Master Config socket",307228
"Configuration manager is unable to allocate memory for config packet",307246
"Local received config less than what master conveyed in config header. This config download will be aborted and local will retryRecommended Action: If the problem persist",307247
"An unexpected condition occurred in the configuration manager Recommended Action: Contact your support provider",307386
"No description available.",307397
"No description available.",307398
"No description available.",307399
"No description available.",307400
"No description available.",307401
"This shows an error message in IF-MAP Client.",309002
"This indicates an assert condition failed.",309018
"This indicates failure in calling PAPI_Init.",309019
"This indicates failure in calling PAPI_AddLocking.",309020
"This indicates failure in calling ncfg_init.",309026
"This indicates failure in calling sapi_init.",309027
"The AP was unable to upgrade its image. Message 311014 will follow with details about the error.",311013
"This message presents detailed information about an AP image upgrade error.",311014
"Internal error occured while accessing domain lists file.",311016
"Internal error occured while resolving the domain names Recommended Action: Contact your support provider38 | System Messages ArubaOS 6",311017
"Internal error occured while processing the domain results file Recommended Action: Contact your support provider",311018
"The access point was unable to generate a certificate signing request (CSR).Recommended Action: Contact your support provider",311019
"This log indicates that we encountered an internal system error. Recommended Action: Contact your support provider",311020
"This log indicates that we encountered an internal system error. Recommended Action: Contact your support provider",311021
"System failed to allocate memory at the specified locationRecommended Action: Use the show memory and the show process commands to monitor memory usage. If the problem persist",311022
"System failed to allocate memory at the specified locationRecommended Action: Use the show memory and the show process commands to monitor memory usage. If the problem persist",311023
"No description available.",311027
"IP multicast process was terminated unexpectedly",312000
"GSM initilization failed",312002
"ESI module has terminated unexpectedly. It will be restarted",312100
"STP instance exceeded maximum number of VLANs",313003
"VLAN creation failed as maximum capacity has been reached",313015
"VLAN creation failed due to invalid VLAN ID",313016
"VLAN creation failedArubaOS 6",313017
"Cannot modify VLAN before bridge initialization is complete",313019
"VLAN update failed",313020
"An error occured while adding tunnel to VLAN",313024
"An error occured while removing tunnel from VLAN",313033
"An error occured while configuring native VLAN of port",313041
"An error occured while creating VLAN",313043
"An error occured while adding/removing XSec port to/from VLAN",313078
"An error occured during interface event handling",313094
"No description available.",313096
"No description available.",313097
"No description available.",313099
"No description available.",313102
"No description available.",313103
"No description available.",313104
"No description available.",313107
"No description available.",313108
"No description available.",313110
"No description available.",313111
"No description available.",313124
"No description available.",313125
"No description available.",313137
"No description available.",313138
"No description available.",313141
"No description available.",313147
"System encountered an internal error while deleting a routing interface",313164
"System encountered an internal error while deleting a routing interface",313165
"Conflict in IGMP configuration",313182
"Conflict in IGMP Proxy Configuration",313183
"Conflict in IGMP Snooping/Proxy Configuration",313184
"Configured IPv6 link local interface address is duplicate and is already in use in the network.",313186
"Interface IPv6 neigbor entry mac is broadcast/multicast address and hence invalid",313193
"Error message to indicate that the AMAP list lock creation is failedArubaOS 6",313194
"Error message to indicate that NIM ports lock creation failed",313195
"Conflict in MLD Snooping/Proxy Configuration",313196
"Conflict in MLD Proxy Configuration",313197
"The PPPoE session has exited unexpectedly. The connection will be re- established",313215
"The command to initiate a pppoe session has failed.Recommended Action: If this error persists and the controller is unable to establish an outside link",313218
"The VLAN on which PPPoE has been configured for is no longer validRecommended Action: Verify that the PPPoE vlan has been deleted",313227
"The switch LOOP back address has been changed and switch rebooted to reflect this changeRecommended Action: Save the current configuration and restart the controller",313234
"The PPPoE IP address conflicts with another interface IP on the controllerRecommended Action: Check all the VLAN interfaces IPs configured on the controller for duplicates",313235
"An error occured when trying to set the PPPoE interface IPRecommended Action: If this error persists and the controller is unable to establish an outside link",313236
"An error occured when trying to add the PPPoE ARP entryRecommended Action: If this error persists and the controller is unable to establish an outside link",313237
"A static entry could not be added to ARP table because of internal resource limits",313241
"A static entry could not be added to ARP table because of an internal error",313243
"A new route could not be added to the database because system exceeded the maximum route capacityø€ù42 | System Messages ArubaOS 6",313248
"Systen encountered an internal error while inserting a route entry into the databaseø€ù",313250
"System detected database corruption while inserting a route entry into the database",313251
"No description available.",313253
"System did not add a route because it already existed",313261
"System encountered an internal error while adding a route",313262
"System encountered an internal error while deleting a route",313265
"A new route could not be added to the database because system exceeded the maximum route capacityø€ù",313293
"ø€œSysten encountered an internal error while inserting a route entry into the databaseø€ù",313295
"ø€œSystem detected database corruption while inserting a route entry into the databaseø€ù",313296
"No description available.",313298
"An error message indicating that VRRP could not get the IP address assigned to the VLAN",313322
"An error message indicating that VRRP could not get the switch IP address",313323
"An internal error occured while configuring MAC address of the interface",313349
"System failed to get internal interface number from slot/port",313366
"System failed to get the interface speed",313374
"An internal error occured while configuring Xsec tunnel in the hardwareArubaOS 6",313391
"Failed to get the interface data rate",313393
"An internal error occured while retrieving port statistics",313401
"An internal error occured while configuring the port speed",313404
"An internal error occured while configuring the auto negotiation state of the port",313405
"An internal error occured while configuring the admin state of the interface",313406
"An internal error occured while configuring the address type of the interface",313407
"An internal error occured while configuring the MTU of the interface",313408
"Failed to get internal interface number from slot/port",313422
"This is an internal error indicating failure to create a LAG interface",313437
"This is an internal error indicating failure in notification of LAG creation",313438
"POE HW failure.",313440
"An internal error message indicating that system is unable to add messages in VRRP message queue",313441
"This message indicates that the VRRP is disabled because of IP address conflict",313446
"The PPPD child process for cellular/modem device have exited unexpectedly. It will be restarted as necessary",313452
"The PPP operation failed when calling the service provider. The operation will be retried",313455
"FPAPPS has encountered an error while processing USB device",313503
"The NVRAM manufacturing information is not valid",314800
"System is restarting stuck queue engine Recommended Action: Contact your support provider",314808
"System has reconfigured SERDES configuration on the linecard Recommended Action: Contact your support provider",314809
"No description available.",314810
"No description available.",314811
"System is unable to detect the line card or the line card is not ready.Recommended Action: If the message persists for more than 5 minutes",314812
"This log indicates that the slot index configured exceeds the number of slots supported.",315005
"Operation failed when attempting to shutdown the switch vlan interface",315013
"An error was encountered while decrypting a key",315020
"Operation failed when trying to add tunnel membership to specified vlan",315073
"An IP address conflict was detected while validating the ip address and netmask",315130
"An IP address conflict was detected while validating the IPv6 address",315131
"Unable to find anymore available VLAN tracking slots to add the new entry",315153
"The switch was unable to determine the master vrid needed to update the peer masterip info",315155
"SNMP agent was unable to find the attribute value when processing the information requestArubaOS 6",315259
"The switch was unable to determine the current temperature",315381
"No description available.",315384
"No description available.",316002
"Error in initializing GSM",316005
"No description available.",316019
"No description available.",316022
"WMS was not able to send a message to the probe. There may be a connectivity issue.",316023
"No description available.",316062
"No description available.",316066
"This shows an internal debug message",320000
"This log indicates that application processes in the system encountered an error sending messages to each other. This could be a transient condition and the problem might go away.Recommended Action: If the problem persists",322000
"This log indicates that application processes in the system encountered an error sending messages to each other. This could be a transient condition and the problem might go away.Recommended Action: If the problem persists",323000
"This shows an internal error message",325012
"System has the maximum allowable number of NAT pools",325016
"This shows an internal error message",325020
"The L2/L3 module sent a message referencing a bad VLAN ID. Recommended Action: Contact your support provider",325022
"File system could be corrupted",325023
"Custom uploaded certificate could be corrupted",325024
"This shows an internal debug message",325032
"Sending message to DHCP Daemon failed",325033
"Printing AUTH NVMGR Error Message",325034
"PAPP Setting of Send Buffer Size failure Message",325035
"This shows an internal error message",325036
"This shows an internal error message",325037
"This shows an internal error message",325038
"This shows an internal error message",325039
"This shows an internal error message",325040
"This shows an internal error message",325041
"This shows an internal error message",325042
"This shows an internal error messageArubaOS 6",325042
"Internal Error: gsm_initialize failed",325043
"Internal Error: gsm_publish failed",325044
"Internal Error: gsm_publish failed",325045
"Internal Error: gsm publish failed",325046
"Internal Error: gsm publish failed",325047
"No description available.",326054
"No description available.",326055
"No description available.",326063
"No description available.",326068
"This log indicates that application processes in the system encountered an error when sending messages to each other.Cause: This could be a transient condition and the problem may go away. Recommended Action: If the problem persists",326071
"No description available.",326143
"No description available.",326183
"This log indicates that we encountered an internal system error Recommended Action: Contact your support provider",326267
"This log indicates that we encountered an internal system error Recommended Action: Contact your support provider48 | System Messages ArubaOS 6",326268
"This log indicates that the application processes",326269
"System failed to allocate memory at the specified locationRecommended Action: Execute the show memory and show process commands to view and monitor memory usage. If the problem persists",326270
"This log indicates that we encountered an internal system error Recommended Action: Contact your support provider",326281
"This log indicates that application processes in the system encountered an error sending messages to each other.Cause: This could be a transient condition and the problem might go away. Recommended Action: If he problem persists",330201
"This log indicates a general error other than internal/communications errors. e.g. might point to a configuration problem.",330208
"This log indicates that we encountered an internal system error. Recommended Action: Contact your support provider",330209
"This log indicates that we encountered an internal system error. Recommended Action: Contact your support provider",330210
"System failed to allocate memory at the specified locationRecommended Action: Use the show memory and show process command to monitor memory usage. If the problem persist",330211
"This log indicates that application processes in the system encountered an error sending messages to each other. This could be a transient condition and the problem might go away.Recommended Action: IIf the problem persist",330212
"Unable to write to /etc/radvd.conf. Possible reason being file system is full.Recommended Action: Contact Aruba tech-support.",330400
"Unexpected condition occurred in the radvdwrap Recommended Action: Contact technical support",330401
"Unexpected condition occurred in the PhoneHome manager (phonehome).Recommended Action: Contact your support provider",334200
"No description available.",334204
"Unexpected condition occurred in the phonehome. Recommended Action: Contact your support provider",334205
"Unexpected condition occurred in the PhoneHome manager (phonehome).Recommended Action: Contact your support provider",334206
"PhoneHome SM received unexpected Event.Recommended Action: This should not happen",334209
"PhoneHome hitting processing error while preparing transaction. Recommended Action: Contact your support provider",334221
"Failed to initialize SAPI",334400
"Failed to initialize NCFG",334402
"Dispatcher timer failed to get time",334403
"Failed to send PAPI message",334404
"Encountered failure sending mail to SMTP server",334406
"Util Proc general errors50 | System Messages ArubaOS 6",334411
"No description available.",334500
"No description available.",334502
"No description available.",334503
"No description available.",334504
"No description available.",334505
"No description available.",334506
"No description available.",334507
"No description available.",334508
"No description available.",334509
"No description available.",334511
"No description available.",334512
"No description available.",334524
"No description available.",334525
"No description available.",334530
"No description available.",334531
"No description available.",334533
"No description available.",334541
"No description available.",334543
"No description available.",334547
"No description available.",334548
"No description available.",334549
"No description available.",334550
"No description available.",334551
"No description available.",334552
"No description available.",334555
"A possible chassis fan falure has been detected. Recommended Action: Fan could need replacement.",335000
"A card voltage is out of tolerance. Recommended Action: Card could need replacement.",335001
"A possible memory falure has been detected.",335003
"A possible memory falure has been detected.",335004
"PS failure or missing.[msg:%s]",335011
"Not Supported. Non Supported PS",335013
"Fan Tray Removed.",335015
"No description available.",335300
"No description available.",335301
"No description available.",335303
"Unable to write to /etc/dhcpd.conf. Possible reason being file system is full.Recommended Action: Contact your support provider",335500
"Unexpected condition occurred in Spectrum process",336001
"Unexpected condition occurred in Spectrum process",336002
"Spectrum process server socket is stuck. Recreating it.",336008
"Unexpected condition occurred in the rtpa process",339301
"Unexpected condition occurred in the rtpa process",339302
"No description available.",341005
"The AP is configuring LED mode.",341023
"The AP is saving configuration .",341026
"The AP is initialing configuration .",341027
"The AP is upgrading image.",341028
"The AP is upgrading image.",341029
"The AP is upgrading image.",341030
"The AP is loading configuration.",341031
"The AP is loading configuration.",341033
"The AP is saving configuration.",341034
"The AP is upgrading image",341036
"The AP is upgrading image.",341037
"The AP is upgrading image.",341038
"The AP is upgrading image.",341039
"The AP is upgrading image.",341040
"The AP is upgrading image.",341041
"The AP is upgrading image.",341042
"The AP is setuping image.",341044
"The AP is upgrading image.",341047
"The AP is upgrading image.",341048
"The AP is upgrading image.",341049
"The AP is setuping image.",341050
"The AP is setuping image.",341051
"The AP is setuping image.",341052
"The AP is upgrading image.",341054
"The AP is upgrading image.",341055
"The AP is upgrading image.",341056
"The AP is upgrading image.",341058
"The AP is setting kernal route",341063
"The AP is setting kernal route.",341064
"The AP is creating tunnel.",341067
"The AP is creating tunnel.",341068
"The AP is creating tunnel.",341070
"The AP is creating SSID.",341072
"The AP is creating SSID.",341074
"The AP is configuring ACL.",341081
"The AP is configuring ACL.",341082
"The AP is configuring ACL.",341083
"The AP is upgrading image.",341085
"The AP is upgrading image from awc.",341089
"The AP is upgrading image from awc.",341090
"The AP is upgrading image from awc.",341092
"The AP is upgrading image.",341093
"The AP is upgrading image.",341094
"The AP is upgrading image.",341095
"Handle papi message.",341107
"Handle papi message",341108
"AP is setting cert.",341109
"AP is setting cert.",341110
"AP is setting cert.",341111
"AP is setting gre name.",341113
"AP is setting gre name.",341114
"AP is setting gre name.",341116
"AP is creating session.",341118
"Handle papi message.",341119
"Station sync.",341122
"Station sync.",341123
"AP is configuring arp entry.",341130
"AP is checking configuration.",341132
"AP is receiving stats sync.",341133
"AP parse arguments from airwave.",341141
"AP receive upgrade message from airwave to update image.",341143
"AP is executing ""show support-commands"".",341144
"Fail to add ids radio.",341163
"ASAP to CLI socket open failed",341210
"ASAP to CLI socket ioctl failed.",341211
"ASAP to CLI socket bind failed.",341212
"ASAP to CLI socket recv failed.",341213
"L2 Roam failed at home network.",341214
"Unexpected condition occurred in mDNS proxy Recommended Action: Contact tech-support.",343000
